section	pivot_word	template	occurrences	paper_count	top_papers	exemplar_quotes
results	although	Although the Pb # f and Br # d remain unchanged for the untreated and treated nanocrystal films, they shift towards lower binding energy when comparing the mixed PbBr # –TBABF # film with the pure PbBr # film (Extended Data Fig. #f,g ).	1	1	10.1038/s41928-024-01181-5	Although the Pb 4 f and Br 3 d remain unchanged for the untreated and treated nanocrystal films, they shift towards lower binding energy when comparing the mixed PbBr 2 –TBABF 4 film with the pure PbBr 2 film (Extended Data Fig. 1f,g ).
results	whereas	The ultraviolet–visible absorbance of the nanocrystal film remains identical after TBABF # treatment, whereas the PL displays a noticeably enhanced intensity (Fig. #a ).	1	1	10.1038/s41928-024-01181-5	The ultraviolet–visible absorbance of the nanocrystal film remains identical after TBABF 4 treatment, whereas the PL displays a noticeably enhanced intensity (Fig. 2a ).
results	while	In contrast, for the AM PeLED based on the untreated CsPbBr # nanocrystal film or bulk FAPbBr # film, the transient ELs show quick responses at high frequencies, while exhibiting a continuous rise at pulse widths of milliseconds (Extended Data Fig. # ).	1	1	10.1038/s41928-024-01181-5	In contrast, for the AM PeLED based on the untreated CsPbBr 3 nanocrystal film or bulk FAPbBr 3 film, the transient ELs show quick responses at high frequencies, while exhibiting a continuous rise at pulse widths of milliseconds (Extended Data Fig. 8 ).
abstract	although	Although the unpaired electron arrangements of radicals enable efficient radiative transitions within the doublet-spin manifold in organic light-emitting diodes, their performance is limited by non-radiative pathways introduced in electroluminescence.	1	1	10.1038/s41566-024-01458-3	Although the unpaired electron arrangements of radicals enable efficient radiative transitions within the doublet-spin manifold in organic light-emitting diodes, their performance is limited by non-radiative pathways introduced in electroluminescence.
introduction	although	Although an external quantum efficiency (EQE) of >#% in electroluminescence (EL) has been demonstrated for visible-light OLEDs, and commercial displays are commonplace, the performance of NIR OLEDs is generally limited to #% EQE using fully organic emitters with emission peak wavelengths at # nm and longer.	1	1	10.1038/s41566-024-01458-3	Although an external quantum efficiency (EQE) of >20% in electroluminescence (EL) has been demonstrated for visible-light OLEDs, and commercial displays are commonplace, the performance of NIR OLEDs is generally limited to 5% EQE using fully organic emitters with emission peak wavelengths at 800 nm and longer.
introduction	whereas	The high-energy singlet state (near # eV) mitigates losses from the energy gap law, whereas its low-energy triplet state is spin-protected from non-radiative decay.	1	1	10.1038/s41566-024-01458-3	The high-energy singlet state (near 3 eV) mitigates losses from the energy gap law, whereas its low-energy triplet state is spin-protected from non-radiative decay.
results	whereas	The PLQY of TTM-TPA in toluene is #% (excited at # nm), whereas the CBP:TTM-TPA #% and MADN:TTM-TPA #% films have PLQYs of #% and #%, respectively, at the same host excitation wavelength.	1	1	10.1038/s41566-024-01458-3	The PLQY of TTM-TPA in toluene is 24% (excited at 370 nm), whereas the CBP:TTM-TPA 3% and MADN:TTM-TPA 3% films have PLQYs of 19% and 27%, respectively, at the same host excitation wavelength.
results	but	As we see from single-carrier device analysis (Supplementary Section # ), the CBP:TTM-TPA emitting layer shows poor electron transporting properties but very high hole transporting properties, which leads to the narrow emission zone causing exciton quenching and low stability.	1	1	10.1038/s41566-024-01458-3	As we see from single-carrier device analysis (Supplementary Section 2 ), the CBP:TTM-TPA emitting layer shows poor electron transporting properties but very high hole transporting properties, which leads to the narrow emission zone causing exciton quenching and low stability.
methods	yet	Yet we chose to use the RSH LC-ωhPBE functional to improve the accuracy in the calculations of electronic properties, especially in computing vertical excitation energies.	1	1	10.1038/s41566-024-01458-3	Yet we chose to use the RSH LC-ωhPBE functional to improve the accuracy in the calculations of electronic properties, especially in computing vertical excitation energies.
methods	whereas	OT-SRSH UKS TDA TDDFT calculations were then performed in toluene on # complexes (the first ten were selected according to the energy rank, whereas the other seven were randomly chosen to scan other potential relative positions and orientations of MADN and TTM-TPA).	1	1	10.1038/s41566-024-01458-3	OT-SRSH UKS TDA TDDFT calculations were then performed in toluene on 17 complexes (the first ten were selected according to the energy rank, whereas the other seven were randomly chosen to scan other potential relative positions and orientations of MADN and TTM-TPA).
abstract	although	Although excellent progress has been made, in most TADF OLEDs there is a severe decrease of efficiency as the drive current is increased, known as efficiency roll-off.	1	1	10.1038/s41586-024-07149-x	Although excellent progress has been made, in most TADF OLEDs there is a severe decrease of efficiency as the drive current is increased, known as efficiency roll-off.
introduction	but	These work very well for red and green emission, but there is not yet a blue phosphorescent emitter meeting all commercial requirements.	1	1	10.1038/s41586-024-07149-x	These work very well for red and green emission, but there is not yet a blue phosphorescent emitter meeting all commercial requirements.
introduction	although	The upper right part of region C shows that there are some reports of TADF OLEDs with high EQE and moderately high J # , although lower than for good phosphorescent devices.	1	1	10.1038/s41586-024-07149-x	The upper right part of region C shows that there are some reports of TADF OLEDs with high EQE and moderately high J 90 , although lower than for good phosphorescent devices.
introduction	however	However, region C also extends to extremely low values of J # that is, there are many TADF devices experiencing significant efficiency roll-off at current densities below # mA cm −# .	1	1	10.1038/s41586-024-07149-x	However, region C also extends to extremely low values of J 90 that is, there are many TADF devices experiencing significant efficiency roll-off at current densities below 0.1 mA cm −2 .
introduction	whereas	Even for a green device, this would correspond to a brightness of at most # cd m −# , whereas typical displays run at # cd m −# and their individual pixels often run at much higher brightness to achieve an average # cd m −# on the display.	1	1	10.1038/s41586-024-07149-x	Even for a green device, this would correspond to a brightness of at most 100 cd m −2 , whereas typical displays run at 400 cd m −2 and their individual pixels often run at much higher brightness to achieve an average 400 cd m −2 on the display.
results	but	Efficiency roll-off arises both from the emitter design and the device design, but for an optimized device design (for example, balanced charge carriers and wide recombination zone) it will ultimately be limited by the properties of the emitter.	1	1	10.1038/s41586-024-07149-x	Efficiency roll-off arises both from the emitter design and the device design, but for an optimized device design (for example, balanced charge carriers and wide recombination zone) it will ultimately be limited by the properties of the emitter.
results	however	This, however, is not as simply achieved as in the case of phosphorescence.	1	1	10.1038/s41586-024-07149-x	This, however, is not as simply achieved as in the case of phosphorescence.
results	although	There is potentially radiative and non-radiative decay of both triplets and singlets, although in a good TADF material \({k}_{{\rm{r}}}^{{\rm{S}}}\) will be much larger than any of \({k}_{{\rm{nr}}}^{{\rm{S}}}\) , \({k}_{{\rm{r}}}^{{\rm{T}}}\) and \({k}_{{\rm{nr}}}^{{\rm{T}}}\) (refs. ).	1	1	10.1038/s41586-024-07149-x	There is potentially radiative and non-radiative decay of both triplets and singlets, although in a good TADF material \({k}_{{\rm{r}}}^{{\rm{S}}}\) will be much larger than any of \({k}_{{\rm{nr}}}^{{\rm{S}}}\) , \({k}_{{\rm{r}}}^{{\rm{T}}}\) and \({k}_{{\rm{nr}}}^{{\rm{T}}}\) (refs. ).
results	whereas	A TADF OLED emits light by radiative decay from \({\text{S}}_{#}({k}_{\text{r}}^{\text{S}})\) , whereas non-radiative decay from both \({\text{S}}_{#}({k}_{\text{nr}}^{\text{S}})\) and \({\text{T}}_{#}({k}_{\text{nr}}^{\text{T}})\) , as well as the negligible radiative decay from \({\text{T}}_{#}({k}_{\text{r}}^{\text{T}})\) are other deactivation pathways of excited species.	1	1	10.1038/s41586-024-07149-x	A TADF OLED emits light by radiative decay from \({\text{S}}_{1}({k}_{\text{r}}^{\text{S}})\) , whereas non-radiative decay from both \({\text{S}}_{1}({k}_{\text{nr}}^{\text{S}})\) and \({\text{T}}_{1}({k}_{\text{nr}}^{\text{T}})\) , as well as the negligible radiative decay from \({\text{T}}_{1}({k}_{\text{r}}^{\text{T}})\) are other deactivation pathways of excited species.
results	yet	As these rate constants are not yet widely measured, we have not at this stage attempted to incorporate them into a FOM.	1	1	10.1038/s41586-024-07149-x	As these rate constants are not yet widely measured, we have not at this stage attempted to incorporate them into a FOM.
discussion	but	In terms of material design for low efficiency roll-off, it is not necessary to maximize k RISC , but it is very desirable to maximize k RISC relative to k ISC (without sacrificing \({k}_{{\rm{r}}}^{{\rm{S}}}\) ).	1	1	10.1038/s41586-024-07149-x	In terms of material design for low efficiency roll-off, it is not necessary to maximize k RISC , but it is very desirable to maximize k RISC relative to k ISC (without sacrificing \({k}_{{\rm{r}}}^{{\rm{S}}}\) ).
discussion	whereas	Whereas all main annihilation processes scale with the triplet population and thus inversely with our proposed FOM, the relative importance of these processes in each OLED is not sufficiently known.	1	1	10.1038/s41586-024-07149-x	Whereas all main annihilation processes scale with the triplet population and thus inversely with our proposed FOM, the relative importance of these processes in each OLED is not sufficiently known.
abstract	but	White organic light-emitting diodes (WOLEDs) hold significant promise in illumination and displays, but achieving high efficiency while maintaining stability is an ongoing challenge.	1	1	10.1038/s41467-024-52401-7	White organic light-emitting diodes (WOLEDs) hold significant promise in illumination and displays, but achieving high efficiency while maintaining stability is an ongoing challenge.
introduction	however	However, their device stability remains inferior, impeding the commercialization of all-TADF WOLEDs.	1	1	10.1038/s41467-024-52401-7	However, their device stability remains inferior, impeding the commercialization of all-TADF WOLEDs.
introduction	while	There is an urgent need to propose effective strategies to improve stability while maintaining high efficiency in all-TADF WOLEDs.	1	1	10.1038/s41467-024-52401-7	There is an urgent need to propose effective strategies to improve stability while maintaining high efficiency in all-TADF WOLEDs.
introduction	but	Consequently, MR-TADF emitters not only offer a high k r comparable to that of conventional fluorescent materials but also surpass them in exciton utilization efficiency, favoring higher device efficiency.	1	1	10.1038/s41467-024-52401-7	Consequently, MR-TADF emitters not only offer a high k r comparable to that of conventional fluorescent materials but also surpass them in exciton utilization efficiency, favoring higher device efficiency.
results	while	In this configuration, HAT-CN serves as the hole injection layer, while both TAPC and TCTA act as the hole transporting layers.	1	1	10.1038/s41467-024-52401-7	In this configuration, HAT-CN serves as the hole injection layer, while both TAPC and TCTA act as the hole transporting layers.
results	however	However, it is worth noting that device B emitted white light with an excess of the yellow component (Fig. #d ), resulting in unsatisfactory color coordinates of (#, #).	1	1	10.1038/s41467-024-52401-7	However, it is worth noting that device B emitted white light with an excess of the yellow component (Fig. 2d ), resulting in unsatisfactory color coordinates of (0.31, 0.51).
results	although	Although reducing the MR-Y concentration to # wt% (device A) aids in improving the color coordinate (#, #), it also brings about a sacrifice in efficiency.	1	1	10.1038/s41467-024-52401-7	Although reducing the MR-Y concentration to 0.3 wt% (device A) aids in improving the color coordinate (0.27, 0.46), it also brings about a sacrifice in efficiency.
results	but	In contrast, device D, fabricated without #TCzBN in the Y-EML, demonstrates a comparable efficiency but shows a steeper roll-off at high brightness (Fig. #c and Table # ).	1	1	10.1038/s41467-024-52401-7	In contrast, device D, fabricated without 5TCzBN in the Y-EML, demonstrates a comparable efficiency but shows a steeper roll-off at high brightness (Fig. 3c and Table 1 ).
abstract	however	However, achieving both in the solid state from the same organic chromophore poses a formidable challenge due to energetic and structural requirements needing to be met simultaneously.	1	1	10.1038/s41467-025-56987-4	However, achieving both in the solid state from the same organic chromophore poses a formidable challenge due to energetic and structural requirements needing to be met simultaneously.
introduction	however	However, the primary impediments to large-scale OLED commercialization are limited lifetime, high cost, and poor efficiency.	1	1	10.1038/s41467-025-56987-4	However, the primary impediments to large-scale OLED commercialization are limited lifetime, high cost, and poor efficiency.
introduction	although	Although TADF has been extensively studied over the past decade, TTA is rarely exploited because of its complicated mechanistic pathway.	1	1	10.1038/s41467-025-56987-4	Although TADF has been extensively studied over the past decade, TTA is rarely exploited because of its complicated mechanistic pathway.
results	while	Ground-state structures were optimized with the density functional theory (DFT) to gain insight into the relationship between molecular structures and electronic properties of phthalimide derivatives while varying the type and number of electron-donating groups.	1	1	10.1038/s41467-025-56987-4	Ground-state structures were optimized with the density functional theory (DFT) to gain insight into the relationship between molecular structures and electronic properties of phthalimide derivatives while varying the type and number of electron-donating groups.
results	whereas	These reveal major differences in the donor-acceptor dihedral angle; #° for the mono-substituted derivatives Pth-#PCz and Pth-#TPA, whereas in the di-substituted derivatives, the dihedral angles between phthalimide and the donors increase to #° for both PhCz and TPA (Fig. #a ), which can be ascribed to the steric hindrance between two ortho -linked donors.	1	1	10.1038/s41467-025-56987-4	These reveal major differences in the donor-acceptor dihedral angle; 37° for the mono-substituted derivatives Pth-1PCz and Pth-1TPA, whereas in the di-substituted derivatives, the dihedral angles between phthalimide and the donors increase to 49° for both PhCz and TPA (Fig. 2a ), which can be ascribed to the steric hindrance between two ortho -linked donors.
results	however	However, the calculations do not predict any substantial difference between PhCz and TPA species.	1	1	10.1038/s41467-025-56987-4	However, the calculations do not predict any substantial difference between PhCz and TPA species.
results	although	On the contrary, although many triplets (CT) are generated in PhCz-based systems, due to increased long-range molecular ordering, TTA surpasses rISC and generates delayed fluorescence (Fig. # ).	1	1	10.1038/s41467-025-56987-4	On the contrary, although many triplets (CT) are generated in PhCz-based systems, due to increased long-range molecular ordering, TTA surpasses rISC and generates delayed fluorescence (Fig. 8 ).
abstract	despite	Despite efforts to stabilize the surface by chemically engineering ligand binding moieties, blinking accompanied by photodegradation still poses barriers to implementing perovskite quantum dots in quantum emitters.	1	1	10.1038/s41467-024-55619-7	Despite efforts to stabilize the surface by chemically engineering ligand binding moieties, blinking accompanied by photodegradation still poses barriers to implementing perovskite quantum dots in quantum emitters.
introduction	however	However, research on exciton dynamics in single CsPbX # QDs to date has mainly focused on weakly confined nanocrystals because size-confined CsPbX # QDs generally exhibit poor photostability.	1	1	10.1038/s41467-024-55619-7	However, research on exciton dynamics in single CsPbX 3 QDs to date has mainly focused on weakly confined nanocrystals because size-confined CsPbX 3 QDs generally exhibit poor photostability.
introduction	yet	While coating a wide-bandgap semiconductor shell can suppress blinking and photodarkening in II-VI QDs, such as CdSe, a well-established shelling protocol for highly ionic CsPbX # QDs has yet to be discovered.	1	1	10.1038/s41467-024-55619-7	While coating a wide-bandgap semiconductor shell can suppress blinking and photodarkening in II-VI QDs, such as CdSe, a well-established shelling protocol for highly ionic CsPbX 3 QDs has yet to be discovered.
introduction	nevertheless	Nevertheless, small-sized CsPbX # QDs immobilized in the solid state still suffer from blinking and photodarkening, suggesting that their surfaces are still unstable under photoexcitation.	1	1	10.1038/s41467-024-55619-7	Nevertheless, small-sized CsPbX 3 QDs immobilized in the solid state still suffer from blinking and photodarkening, suggesting that their surfaces are still unstable under photoexcitation.
introduction	while	While tolerated by weakly confined perovskite QDs, under-passivated surfaces or photogenerated defects can be detrimental to strongly confined QDs (Supplementary Note # and Supplementary Fig. # ).	1	1	10.1038/s41467-024-55619-7	While tolerated by weakly confined perovskite QDs, under-passivated surfaces or photogenerated defects can be detrimental to strongly confined QDs (Supplementary Note 1 and Supplementary Fig. 1 ).
introduction	but	But fully passivating the (#) facet of CsPbBr # using DDA would require an aliphatic chain density of ~# chains·nm −# , exceeding that of the crystalline aliphatic chain density (# chains·nm −# ).	1	1	10.1038/s41467-024-55619-7	But fully passivating the (100) facet of CsPbBr 3 using DDA would require an aliphatic chain density of ~5.7 chains·nm −2 , exceeding that of the crystalline aliphatic chain density (4.9 chains·nm −2 ).
results	while	As shown in Fig. #c , the lowest surface energy of the CsPbBr # slab was achieved when # of the # Cs + sites were filled by DDAs, while adding an additional DDA would increase the surface energy.	1	1	10.1038/s41467-024-55619-7	As shown in Fig. 1c , the lowest surface energy of the CsPbBr 3 slab was achieved when 7 of the 8 Cs + sites were filled by DDAs, while adding an additional DDA would increase the surface energy.
results	however	However, QDs in a densely packed thin film typically used in the solid-state exchange cannot be optically resolved.	1	1	10.1038/s41467-024-55619-7	However, QDs in a densely packed thin film typically used in the solid-state exchange cannot be optically resolved.
results	despite	Despite the aggressive threshold, the PEA-covered QD remained mainly in the ON state without photodarkening over # min (Fig. #a ).	1	1	10.1038/s41467-024-55619-7	Despite the aggressive threshold, the PEA-covered QD remained mainly in the ON state without photodarkening over 10 min (Fig. 2a ).
results	but	QDs covered by ligands with only low-steric tails but without π-π stacking effects, such as iso-propylammonium (IPA) bromide, still showed a relatively low average ON time fraction of #% (extracted from measurements of # IPA-covered QDs, Supplementary Fig. # ), implying the existence of surface defects due to incomplete passivation in IPA-covered QDs.	1	1	10.1038/s41467-024-55619-7	QDs covered by ligands with only low-steric tails but without π-π stacking effects, such as iso-propylammonium (IPA) bromide, still showed a relatively low average ON time fraction of 83% (extracted from measurements of 67 IPA-covered QDs, Supplementary Fig. 18 ), implying the existence of surface defects due to incomplete passivation in IPA-covered QDs.
discussion	although	Although bulky long-chain ligand tails can entropically improve the colloidal stability of perovskite QDs, steric repulsion can lead to uncovered surface sites and ion loss.	1	1	10.1038/s41467-024-55619-7	Although bulky long-chain ligand tails can entropically improve the colloidal stability of perovskite QDs, steric repulsion can lead to uncovered surface sites and ion loss.
methods	while	The mixture was vacuumed on a Schlenk line for # min while stirring.	1	1	10.1038/s41467-024-55619-7	The mixture was vacuumed on a Schlenk line for 15 min while stirring.
abstract	but	InP/ZnSe/ZnS quantum dots (QDs) stand as promising candidates for advancing QD-organic light-emitting diodes (QLED) but low emission efficiency due to their susceptibility to oxidation impedes applications.	1	1	10.1038/s41467-024-45944-2	InP/ZnSe/ZnS quantum dots (QDs) stand as promising candidates for advancing QD-organic light-emitting diodes (QLED) but low emission efficiency due to their susceptibility to oxidation impedes applications.
introduction	however	However the oxophilic properties of InP make InP-based QDs vulnerable to oxidation which can diminish their emissions over time.	1	1	10.1038/s41467-024-45944-2	However the oxophilic properties of InP make InP-based QDs vulnerable to oxidation which can diminish their emissions over time.
introduction	while	While the ZnS shell protects the QDs from oxidation and provides effective exciton confinement the large lattice mismatch between InP and ZnS can cause surface traps thereby reducing photoluminescence (PL) efficiency.	1	1	10.1038/s41467-024-45944-2	While the ZnS shell protects the QDs from oxidation and provides effective exciton confinement the large lattice mismatch between InP and ZnS can cause surface traps thereby reducing photoluminescence (PL) efficiency.
results	while	While the maximum PL emission wavelength λmaxem of the QDs remains similar around # nm during the oxidation from # to # h (blue triangle Fig. #c) the full width at half maximum (FWHM) of the emission peak increases from # to # ± # nm as shown as red square in Fig. #c.	1	1	10.1038/s41467-024-45944-2	While the maximum PL emission wavelength λmaxem of the QDs remains similar around 627 nm during the oxidation from 0 to 72 h (blue triangle Fig. 1c) the full width at half maximum (FWHM) of the emission peak increases from 37 to 41 ± 1 nm as shown as red square in Fig. 1c.
results	however	However the QDs exposed to UV in an Ar atmosphere exhibit mostly identical PL lifetimes after # h changing from # to # ns (green symbols Fig. #e).	1	1	10.1038/s41467-024-45944-2	However the QDs exposed to UV in an Ar atmosphere exhibit mostly identical PL lifetimes after 72 h changing from 37.66 to 37.87 ns (green symbols Fig. 1e).
results	but	It is well known that structural defects and emission efficiency of QDs are closely related but the types of such structural defects are less reported.	1	1	10.1038/s41467-024-45944-2	It is well known that structural defects and emission efficiency of QDs are closely related but the types of such structural defects are less reported.
abstract	while	The impact can be exploited in colloidal semiconductor quantum dots (QDs) wherein structural stresses can be imposed in three dimensions while defect formation is suppressed by controlling surface growth kinetics.	1	1	10.1038/s41467-024-49791-z	The impact can be exploited in colloidal semiconductor quantum dots (QDs) wherein structural stresses can be imposed in three dimensions while defect formation is suppressed by controlling surface growth kinetics.
abstract	yet	Yet the control over the structural deformation of QDs free from optically active defects has not been reached.	1	1	10.1038/s41467-024-49791-z	Yet the control over the structural deformation of QDs free from optically active defects has not been reached.
introduction	despite	The degeneracy lift in colloidal QDs was first reported from a spherical core-asymmetrically grown shell geometry and has been found even in a conventional spherical core-shell geometry Despite progress the relation between the structural factors and photophysical/electronic characteristics of results QDs remains unknown.	1	1	10.1038/s41467-024-49791-z	The degeneracy lift in colloidal QDs was first reported from a spherical core-asymmetrically grown shell geometry and has been found even in a conventional spherical core-shell geometry Despite progress the relation between the structural factors and photophysical/electronic characteristics of results QDs remains unknown.
introduction	but	Resulting CdSe-ZnSe QDs bear compositionally abrupt but strain-graded core-shell interface in which the compressive strain imposed in CdSe is greatly intensified while the formation of misfit defects is effectively suppressed.	1	1	10.1038/s41467-024-49791-z	Resulting CdSe-ZnSe QDs bear compositionally abrupt but strain-graded core-shell interface in which the compressive strain imposed in CdSe is greatly intensified while the formation of misfit defects is effectively suppressed.
results	while	The former deploys facet dependent anisotropic growth of shell epilayers on the core while the latter employs the different compressive stress given by the reduced crystal symmetry of materials.	1	1	10.1038/s41467-024-49791-z	The former deploys facet dependent anisotropic growth of shell epilayers on the core while the latter employs the different compressive stress given by the reduced crystal symmetry of materials.
results	whereas	It is well known that the thick shell side accumulates structural stress at the core-shell interface to create misfit defects whereas the thin shell side is ineffective to confine charge carriers both of which are responsible for inefficiency and instability of QD’s emission characteristics.	1	1	10.1038/s41467-024-49791-z	It is well known that the thick shell side accumulates structural stress at the core-shell interface to create misfit defects whereas the thin shell side is ineffective to confine charge carriers both of which are responsible for inefficiency and instability of QD’s emission characteristics.
results	but	Core-compositionally graded shell heterostructure as known as cg-QD has been elaborated to meet the criteria but it inevitably accompanies the reduction of the magnitude of the compressive stress onto the core as well as the spectral broadening originating from the compositional or structural inhomogeneity of the interface layer.	1	1	10.1038/s41467-024-49791-z	Core-compositionally graded shell heterostructure as known as cg-QD has been elaborated to meet the criteria but it inevitably accompanies the reduction of the magnitude of the compressive stress onto the core as well as the spectral broadening originating from the compositional or structural inhomogeneity of the interface layer.
results	however	However compressive strain in CdSe core develops differently depending on the crystal axes.	1	1	10.1038/s41467-024-49791-z	However compressive strain in CdSe core develops differently depending on the crystal axes.
results	although	We attribute this intriguing behavior to the nonlinear change of the asymmetric strain for the thickness of the ZnSe shell (Supplementary Fig. # and Note #) although the exact thickness might be different due to the simplified geometry in our calculation.	1	1	10.1038/s41467-024-49791-z	We attribute this intriguing behavior to the nonlinear change of the asymmetric strain for the thickness of the ZnSe shell (Supplementary Fig. 7 and Note 3) although the exact thickness might be different due to the simplified geometry in our calculation.
results	despite	It is noted that despite the similar trends observed in the photophysical properties with compressive strain by means of increasing ZnSe shell thicknesses the impact appears less dramatic for Cd₀.₂₅Zn₀.₇₅Se-ZnSe sg-QDs compared to CdSe-ZnSe sg-QDs.	1	1	10.1038/s41467-024-49791-z	It is noted that despite the similar trends observed in the photophysical properties with compressive strain by means of increasing ZnSe shell thicknesses the impact appears less dramatic for Cd₀.₂₅Zn₀.₇₅Se-ZnSe sg-QDs compared to CdSe-ZnSe sg-QDs.
abstract	although	Although film quantum dot light-emitting diodes have achieved or approached efficiency and stability standards for commercial applications patterned quantum dot light-emitting diodes particularly blue quantum dot light-emitting diodes still face challenges in both efficiency and stability.	1	1	10.1038/s41467-025-62345-1	Although film quantum dot light-emitting diodes have achieved or approached efficiency and stability standards for commercial applications patterned quantum dot light-emitting diodes particularly blue quantum dot light-emitting diodes still face challenges in both efficiency and stability.
introduction	however	However patterned QLEDs especially blue patterned QLEDs generally exhibit lower efficiency luminance and poorer stability posing challenges to the commercialization of full-color QLEDs.	1	1	10.1038/s41467-025-62345-1	However patterned QLEDs especially blue patterned QLEDs generally exhibit lower efficiency luminance and poorer stability posing challenges to the commercialization of full-color QLEDs.
results	but	Compared to long-chain fatty acid ligands (such as oleic acid) short-chain aromatic ligands can not only improve carrier mobility but also enhance the attraction between QDs through π-π interactions which helps overcome the interference of complex hydrodynamics on the self-assembly process of blue QDs.	1	1	10.1038/s41467-025-62345-1	Compared to long-chain fatty acid ligands (such as oleic acid) short-chain aromatic ligands can not only improve carrier mobility but also enhance the attraction between QDs through π-π interactions which helps overcome the interference of complex hydrodynamics on the self-assembly process of blue QDs.
results	while	The interaction energy (ΔF) between OA modified QDs is −# eV (Fig. #c right and Supplementary Fig. #a) while ΔF between #-F-CA modified QDs is −# eV (Fig. #d right and Supplementary Fig. #b).	1	1	10.1038/s41467-025-62345-1	The interaction energy (ΔF) between OA modified QDs is −0.04 eV (Fig. 1c right and Supplementary Fig. 6a) while ΔF between 3-F-CA modified QDs is −0.64 eV (Fig. 1d right and Supplementary Fig. 6b).
results	whereas	Atomic force microscopy (AFM) images further show that the surface of the QD microstructures containing #-F-CA is smoother (Fig. #e and Supplementary Fig. #) whereas the QD microstructures without #-F-CA exhibit higher surface roughness (Supplementary Fig. #b).	1	1	10.1038/s41467-025-62345-1	Atomic force microscopy (AFM) images further show that the surface of the QD microstructures containing 3-F-CA is smoother (Fig. 2e and Supplementary Fig. 12) whereas the QD microstructures without 3-F-CA exhibit higher surface roughness (Supplementary Fig. 11b).
methods	while	During the computation the x-direction was set to periodic boundary conditions while the y-direction was assigned perfectly matched layer conditions.	1	1	10.1038/s41467-025-62345-1	During the computation the x-direction was set to periodic boundary conditions while the y-direction was assigned perfectly matched layer conditions.
abstract	however	However near-infrared counterparts considerably lag behind due to the inferior quality of near-infrared quantum dots and limitations in device architecture suitable for near-infrared electroluminescence.	1	1	10.1038/s41467-025-57746-1	However near-infrared counterparts considerably lag behind due to the inferior quality of near-infrared quantum dots and limitations in device architecture suitable for near-infrared electroluminescence.
introduction	however	However NIR QD-LEDs considerably lag behind state-of-the-art visible QD-LEDs which presents a major obstacle to their widespread application.	1	1	10.1038/s41467-025-57746-1	However NIR QD-LEDs considerably lag behind state-of-the-art visible QD-LEDs which presents a major obstacle to their widespread application.
introduction	while	While several RoHS-compliant NIR QDs have been explored as emitting materials for QD-LEDs many of these devices exhibit challenges related to efficiency radiance and operational stability (Table #).	1	1	10.1038/s41467-025-57746-1	While several RoHS-compliant NIR QDs have been explored as emitting materials for QD-LEDs many of these devices exhibit challenges related to efficiency radiance and operational stability (Table 1).
results	however	However previous studies on InAs-based QDs have typically reported small sizes and PLQYs below #%.	1	1	10.1038/s41467-025-57746-1	However previous studies on InAs-based QDs have typically reported small sizes and PLQYs below 80%.
results	although	Although InP deposition did not have a significant influence on the PLQY (<#% for InAs and InAs/InP QDs) a drastic increase in the PLQY to near #% was observed when a thin ZnSe layer (~# MLs) was overcoated.	1	1	10.1038/s41467-025-57746-1	Although InP deposition did not have a significant influence on the PLQY (<10% for InAs and InAs/InP QDs) a drastic increase in the PLQY to near 100% was observed when a thin ZnSe layer (~3 MLs) was overcoated.
results	but	Near-unity PLQY was preserved as the ZnSe layer was increased to # MLs but decreased to ~#% with the coating of an additional # MLs of ZnSe which was recovered after deposition of the protective ZnS layer (Fig. #f).	1	1	10.1038/s41467-025-57746-1	Near-unity PLQY was preserved as the ZnSe layer was increased to 14 MLs but decreased to ~78% with the coating of an additional 2 MLs of ZnSe which was recovered after deposition of the protective ZnS layer (Fig. 1f).
results	while	We have confirmed that neglecting the thin InP layer does not qualitatively affect the results while maintaining computational efficiency (Supplementary Fig. #).	1	1	10.1038/s41467-025-57746-1	We have confirmed that neglecting the thin InP layer does not qualitatively affect the results while maintaining computational efficiency (Supplementary Fig. 15).
methods	while	We employed a symmetric slab model for both {#} and {#} facets while a wedge model for {#} facets.	1	1	10.1038/s41467-025-57746-1	We employed a symmetric slab model for both {110} and {100} facets while a wedge model for {111} facets.
abstract	however	However printable (opto)electronic devices with sophisticated architectures including all-printed photodiodes face challenges in multi-material and multi-layer printing at micro- and nanoscales with low processing temperatures.	1	1	10.1038/s41467-025-64596-4	However printable (opto)electronic devices with sophisticated architectures including all-printed photodiodes face challenges in multi-material and multi-layer printing at micro- and nanoscales with low processing temperatures.
introduction	although	Although stereolithography and two-photon polymerisation-based #D printing have achieved sub-micron resolution and geometrical complexity the inks are still limited to metal(oxide)s and polymeric materials and the final products typically serve machinal and optical applications.	1	1	10.1038/s41467-025-64596-4	Although stereolithography and two-photon polymerisation-based 3D printing have achieved sub-micron resolution and geometrical complexity the inks are still limited to metal(oxide)s and polymeric materials and the final products typically serve machinal and optical applications.
introduction	yet	Printing the whole multi-layer device stacks like metal contacts/transport layers/photo-absorbing layers (PN or PIN junctions)/transport layers/metal contacts is also not yet achieved.	1	1	10.1038/s41467-025-64596-4	Printing the whole multi-layer device stacks like metal contacts/transport layers/photo-absorbing layers (PN or PIN junctions)/transport layers/metal contacts is also not yet achieved.
