from_section	to_section	pattern	occurrences	paper_count	top_papers	exemplar_quotes
discussion	methods	Poly(methyl methacrylate) (PMMA, average molecular weight, ~#,# g mol^−#^) and zinc acetate hydrate (>#%) were purchased from Sigma Aldrich.	1	1	10.1038/s41467-020-15944-z	Poly(methyl methacrylate) (PMMA, average molecular weight, ~120,000 g mol^−1^) and zinc acetate hydrate (>98%) were purchased from Sigma Aldrich.
abstract	introduction	Colloidal quantum dots (QDs) are considered as the next-generation emissive materials for quantum light-emitting diodes (QLEDs) owing to their size controllable bandgaps, excellent photoelectric properties and high color purity.	1	1	10.1038/s43246-021-00203-5	Colloidal quantum dots (QDs) are considered as the next-generation emissive materials for quantum light-emitting diodes (QLEDs) owing to their size controllable bandgaps, excellent photoelectric properties and high color purity.
introduction	results	For clarity, Fig. # depicts the progressive pathways to passivate the InP-based QDs.	1	1	10.1038/s43246-021-00203-5	For clarity, Fig. 1 depicts the progressive pathways to passivate the InP-based QDs.
results	discussion	In summary, we have carried out extensive post-modification of the colloidal green InP QDs by a sequence of ligand exchanges with various alkyl diamines and zinc halides.	1	1	10.1038/s43246-021-00203-5	In summary, we have carried out extensive post-modification of the colloidal green InP QDs by a sequence of ligand exchanges with various alkyl diamines and zinc halides.
discussion	methods	Zinc acetate dehydrate (#%) and dimethyl sulfoxide (DMSO, #%) were purchased from J.T.	1	1	10.1038/s43246-021-00203-5	Zinc acetate dehydrate (99%) and dimethyl sulfoxide (DMSO, 99.9%) were purchased from J.T.
abstract	introduction	The impetus for display devices with high color purity and low power consumption has driven intensive research on quantum dot-based light-emitting diodes (QLEDs) to exploit narrow bandwidth and high emission quantum yield (QY) of quantum dots (QDs).	1	1	10.1038/s41467-021-25955-z	The impetus for display devices with high color purity and low power consumption has driven intensive research on quantum dot-based light-emitting diodes (QLEDs) to exploit narrow bandwidth and high emission quantum yield (QY) of quantum dots (QDs).
introduction	results	For our study, we adopt the inverted device structure employing a ZnO nanoparticle (NP) ETL, InP/ZnSe/ZnS core/multishell QDs (Supplementary Fig. #) and various organic HTLs with different ionization energies for systematic investigation: #,#′,#″-tris[#-naphthyl(phenyl)amino]triphenylamine (#TNATA, # eV), N,N′-di(#-naphthyl)-N,N′-diphenyl-(#,#′-biphenyl)-#,#′-diamine (NPB, # eV), and tris(#-carbazoyl-#-ylphenyl)amine (TCTA, # eV).	1	1	10.1038/s41467-021-25955-z	For our study, we adopt the inverted device structure employing a ZnO nanoparticle (NP) ETL, InP/ZnSe/ZnS core/multishell QDs (Supplementary Fig. 1) and various organic HTLs with different ionization energies for systematic investigation: 4,4′,4″-tris[2-naphthyl(phenyl)amino]triphenylamine (2TNATA, 5.1 eV), N,N′-di(1-naphthyl)-N,N′-diphenyl-(1,1′-biphenyl)-4,4′-diamine (NPB, 5.4 eV), and tris(4-carbazoyl-9-ylphenyl)amine (TCTA, 5.7 eV).
results	discussion	In this sense, our interpretation addresses the discrepancy raised in the continuum DOS model for #TNATA-based devices.	1	1	10.1038/s41467-021-25955-z	In this sense, our interpretation addresses the discrepancy raised in the continuum DOS model for 2TNATA-based devices.
discussion	methods	Indium acetate (In(Ac)_#_, #%), zinc acetate (Zn(Ac)_#_, #%), tris(trimethylsilyl)-phosphine ((TMS)_#_P, #%), #-octadecene (ODE, #%), oleic acid (OA, #%), and tri-n-octylphosphine (TOP, #%) were purchased from UniAm.	1	1	10.1038/s41467-021-25955-z	Indium acetate (In(Ac)_3_, 99.99%), zinc acetate (Zn(Ac)_2_, 99.99%), tris(trimethylsilyl)-phosphine ((TMS)_3_P, 99.9%), 1-octadecene (ODE, 99%), oleic acid (OA, 99%), and tri-n-octylphosphine (TOP, 99%) were purchased from UniAm.
abstract	introduction	Solution-processed quantum dot light-emitting diodes (QD-LEDs) are emerging as leading candidates for next-generation displays and lighting, owing to their high emission efficiency, narrow spectral bandwidth, and low-cost manufacturing.	1	1	10.1038/s41467-025-65135-x	Solution-processed quantum dot light-emitting diodes (QD-LEDs) are emerging as leading candidates for next-generation displays and lighting, owing to their high emission efficiency, narrow spectral bandwidth, and low-cost manufacturing.
introduction	results	Carrier diffusion accelerates the electroluminescence	1	1	10.1038/s41467-025-65135-x	Carrier diffusion accelerates the electroluminescence
results	discussion	In summary, we propose a strategy to simultaneously accelerate carrier injection and diffusion across QDs, maximizing the exciton formation rate to achieve high EQE and brightness in green QD-LEDs.	1	1	10.1038/s41467-025-65135-x	In summary, we propose a strategy to simultaneously accelerate carrier injection and diffusion across QDs, maximizing the exciton formation rate to achieve high EQE and brightness in green QD-LEDs.
discussion	methods	Zinc acetate (Zn(OAc)_#_, #%), #-octadecene (ODE, #%), selenium (Se, #%, Powder), trioctylphosphine (TOP, #%), and oleic acid (OA, #%) were purchased from Alfa Aesar.	1	1	10.1038/s41467-025-65135-x	Zinc acetate (Zn(OAc)_2_, 99.99%), 1-octadecene (ODE, 90%), selenium (Se, 99.99%, Powder), trioctylphosphine (TOP, 90%), and oleic acid (OA, 90%) were purchased from Alfa Aesar.
abstract	introduction	Quantum dot light-emitting diodes (QLEDs) are commonly seen as crucial contenders for next-generation display and lighting technologies, owing to their exceptional luminescence properties and low production costs.	1	1	10.1038/s41467-025-57304-9	Quantum dot light-emitting diodes (QLEDs) are commonly seen as crucial contenders for next-generation display and lighting technologies, owing to their exceptional luminescence properties and low production costs.
introduction	results	Design and structure characterization	1	1	10.1038/s41467-025-57304-9	Design and structure characterization
results	discussion	In conclusion, we have successfully developed efficient ZnSeTe green QLEDs by controlling the interfacial potential.	1	1	10.1038/s41467-025-57304-9	In conclusion, we have successfully developed efficient ZnSeTe green QLEDs by controlling the interfacial potential.
discussion	methods	Zinc chloride (ZnCl_#_, #%), zinc acetate (Zn(OAc)_#_, #%), sulfur powder (S, #%), selenium powder (Se, #%), diethylzinc (DEZ; # M in ODE), trioctylphosphine (TOP, #%), tellurium (#%), tri-n-octylamine (TOA, #%), oleylamine (OLA, #%), oleic acid (OA, #%), #-octadecene (ODE, #%), heptane (#%), octane (#%), Palmitic acid (PA, #%), #-dodecanethiol (DDT, #%), diphenylphosphine (DPP), HF (#%), tris[#-(diphenylphosphino)ethyl]phosphine were purchased from Aladdin.	1	1	10.1038/s41467-025-57304-9	Zinc chloride (ZnCl_2_, 99.99%), zinc acetate (Zn(OAc)_2_, 99.99%), sulfur powder (S, 99.999%), selenium powder (Se, 99.999%), diethylzinc (DEZ; 1.0 M in ODE), trioctylphosphine (TOP, 97%), tellurium (99.99%), tri-n-octylamine (TOA, 90%), oleylamine (OLA, 90%), oleic acid (OA, 90%), 1-octadecene (ODE, 90%), heptane (90%), octane (99%), Palmitic acid (PA, 90%), 1-dodecanethiol (DDT, 98%), diphenylphosphine (DPP), HF (48%), tris[2-(diphenylphosphino)ethyl]phosphine were purchased from Aladdin.
abstract	introduction	Metal oxide thin films are considered an attractive material for various functional applications because of their favorable energy band structure, excellent processability, and high stability.	1	1	10.1038/s41467-021-27652-3	Metal oxide thin films are considered an attractive material for various functional applications because of their favorable energy band structure, excellent processability, and high stability.
introduction	results	Full size imagea Conventional cation doping, b surface charge transfer doping (SCTD), and c heterostructure charge transfer complex formation (this work).	1	1	10.1038/s41467-021-27652-3	Full size imagea Conventional cation doping, b surface charge transfer doping (SCTD), and c heterostructure charge transfer complex formation (this work).
results	discussion	In summary, we introduced the formation of a heterostructure charge transfer complex as a unique approach to simultaneously modulate energy levels and enhance the electrical conductivity of a metal oxide system.	1	1	10.1038/s41467-021-27652-3	In summary, we introduced the formation of a heterostructure charge transfer complex as a unique approach to simultaneously modulate energy levels and enhance the electrical conductivity of a metal oxide system.
discussion	methods	Nickel(II) acetate tetrahydrate ((CH#CO#)#Ni·#H#O, #%) was purchased from ACROS Organics.	1	1	10.1038/s41467-021-27652-3	Nickel(II) acetate tetrahydrate ((CH3CO2)2Ni·4H2O, 99%) was purchased from ACROS Organics.
abstract	introduction	P-i-n structured perovskite solar cells (PSCs) have demonstrated great potential in photovoltaics, particularly for commercial-scale large-area module applications, due to their high efficiency, low-temperature fabrication, and superior charge transport properties.	1	1	10.1038/s41467-025-64111-9	P-i-n structured perovskite solar cells (PSCs) have demonstrated great potential in photovoltaics, particularly for commercial-scale large-area module applications, due to their high efficiency, low-temperature fabrication, and superior charge transport properties.
introduction	results	In the integrated HTL strategy proposed in this study (Fig. #a), the surface hydroxylation of NiOx serves as a crucial chemical anchoring site, which is related to the bridging uniformity and stability of the SAM shell.	1	1	10.1038/s41467-025-64111-9	In the integrated HTL strategy proposed in this study (Fig. 1a), the surface hydroxylation of NiOx serves as a crucial chemical anchoring site, which is related to the bridging uniformity and stability of the SAM shell.
results	discussion	This study presents an integrated HTL strategy based on in situ SAM-coordinated NiOx, overcoming the limitations of conventional segmented HTL, where SAMs are deposited onto pre-formed NiOx layers.	1	1	10.1038/s41467-025-64111-9	This study presents an integrated HTL strategy based on in situ SAM-coordinated NiOx, overcoming the limitations of conventional segmented HTL, where SAMs are deposited onto pre-formed NiOx layers.
discussion	methods	N, N′-dimethylformamide (DMF), dimethyl sulfoxide (DMSO), isopropyl alcohol (IPA), chlorobenzene (CB) and ethanol (EtOH) were purchased from Sigma-Aldrich.	1	1	10.1038/s41467-025-64111-9	N, N′-dimethylformamide (DMF), dimethyl sulfoxide (DMSO), isopropyl alcohol (IPA), chlorobenzene (CB) and ethanol (EtOH) were purchased from Sigma-Aldrich.
abstract	introduction	Inverted perovskite solar cells (PSCs) have achieved significant advancements in long-term stability and power conversion efficiency (PCE).	1	1	10.1038/s41467-025-63389-z	Inverted perovskite solar cells (PSCs) have achieved significant advancements in long-term stability and power conversion efficiency (PCE).
introduction	results	Design of self-assembled molecules.	1	1	10.1038/s41467-025-63389-z	Design of self-assembled molecules.
results	methods	Formamidine iodide (FAI, #%), methylammonium iodide (MAI, #%), methylamine hydrochloride (MACl, #%) and methylammonium bromide (MABr, #%) were purchased from Greatcell Solar Materials.	1	1	10.1038/s41467-025-63389-z	Formamidine iodide (FAI, 99.5%), methylammonium iodide (MAI, 99.5%), methylamine hydrochloride (MACl, 99.5%) and methylammonium bromide (MABr, 99.5%) were purchased from Greatcell Solar Materials.
abstract	introduction	Inverted (p-i-n) perovskite solar cells (PSCs) have gained worldwide attention, as it achieved a remarkable power conversion efficiencies (PCEs) exceeding #%.	1	1	10.1038/s41467-026-73911-6	Inverted (p-i-n) perovskite solar cells (PSCs) have gained worldwide attention, as it achieved a remarkable power conversion efficiencies (PCEs) exceeding 27%.
introduction	results	Chemical precipitation is one very effective approach to synthesize high-quality NiOx NPs.	1	1	10.1038/s41467-026-73911-6	Chemical precipitation is one very effective approach to synthesize high-quality NiOx NPs.
results	discussion	We developed a LTCP method to successfully fabricate high-quality NiOx NPs for HTL in inverted PSCs.	1	1	10.1038/s41467-026-73911-6	We developed a LTCP method to successfully fabricate high-quality NiOx NPs for HTL in inverted PSCs.
discussion	methods	All chemicals and solvents were used as received without further purification.	1	1	10.1038/s41467-026-73911-6	All chemicals and solvents were used as received without further purification.
abstract	introduction	Interface engineering has made a great contribution to the development of solution-processable third-generation photovoltaic (PV) devices, bearing the hope of achieving carbon neutrality via sustainable energy production, like perovskite/organic solar cells (OSCs and PSCs).	1	1	10.1038/s41467-024-51760-5	Interface engineering has made a great contribution to the development of solution-processable third-generation photovoltaic (PV) devices, bearing the hope of achieving carbon neutrality via sustainable energy production, like perovskite/organic solar cells (OSCs and PSCs).
introduction	results	The chemical structures of #PACz and PyCA-#F are presented in Fig. #a.	1	1	10.1038/s41467-024-51760-5	The chemical structures of 2PACz and PyCA-3F are presented in Fig. 1a.
results	discussion	In summary, our work demonstrated a co-adsorbed (CA) approach to rationally modify the SAM-based HTL layer, yielding significantly improved stability and PCEs for both PSCs and OSCs of p-i-n configuration.	1	1	10.1038/s41467-024-51760-5	In summary, our work demonstrated a co-adsorbed (CA) approach to rationally modify the SAM-based HTL layer, yielding significantly improved stability and PCEs for both PSCs and OSCs of p-i-n configuration.
discussion	methods	Cesium iodide (CsI), methylamine hydrochloride (MACl), formamidinium iodide (FAI), Lead bromide (PbBr#) methylamine hydrobromide (MABr), and lead iodide (PbI#) are purchased from Advanced Election Co., Ltd.	1	1	10.1038/s41467-024-51760-5	Cesium iodide (CsI), methylamine hydrochloride (MACl), formamidinium iodide (FAI), Lead bromide (PbBr2) methylamine hydrobromide (MABr), and lead iodide (PbI2) are purchased from Advanced Election Co., Ltd.
abstract	introduction	All-perovskite tandem solar cells (TSCs), consisting of a wide-bandgap (WBG, #–# eV) top cell paring with a narrow bandgap (NBG, #–# eV) bottom cell, have been presented as a promising approach to breaking the Shockley-Queisser (SQ) limits of single-junction perovskite solar cells (PSCs).	1	1	10.1038/s41467-025-59515-6	All-perovskite tandem solar cells (TSCs), consisting of a wide-bandgap (WBG, 1.7–1.8 eV) top cell paring with a narrow bandgap (NBG, 1.2–1.3 eV) bottom cell, have been presented as a promising approach to breaking the Shockley-Queisser (SQ) limits of single-junction perovskite solar cells (PSCs).
introduction	results	To dig into the adsorption mechanism of different SAMs on NiOx surface, DFT calculations including the electron localization function (ELF) were performed on Me-#PACz/NiOx, Me-#BACz (substituting PA with BA)/NiOx, S-BA/NiOx and O-BA/NiOx, N-BA/NiOx models.	1	1	10.1038/s41467-025-59515-6	To dig into the adsorption mechanism of different SAMs on NiOx surface, DFT calculations including the electron localization function (ELF) were performed on Me-4PACz/NiOx, Me-4BACz (substituting PA with BA)/NiOx, S-BA/NiOx and O-BA/NiOx, N-BA/NiOx models.
results	discussion	In summary, we have demonstrated that buried interface engineering by using a mixed SAM (S-BA-SAM: Me-#PACz = #:#, molar ratio) has a substantial impact on the performance of WBG subcells and TSCs.	1	1	10.1038/s41467-025-59515-6	In summary, we have demonstrated that buried interface engineering by using a mixed SAM (S-BA-SAM: Me-4PACz = 4:1, molar ratio) has a substantial impact on the performance of WBG subcells and TSCs.
discussion	methods	Formamidinium iodide (FAI, #%), methylammonium chloride (MACl #%), lead (II) iodide (PbI# #%), cesium iodide (CsI), lead bromide (PbBr#), lead (II) chloride (PbCl# #%), nickel oxide (NiOx) and patterned ITO substrates were purchased from Advanced Election Technology CO., Ltd.	1	1	10.1038/s41467-025-59515-6	Formamidinium iodide (FAI, 99.99%), methylammonium chloride (MACl 99.99%), lead (II) iodide (PbI2 99.9%), cesium iodide (CsI), lead bromide (PbBr2), lead (II) chloride (PbCl2 99.9%), nickel oxide (NiOx) and patterned ITO substrates were purchased from Advanced Election Technology CO., Ltd.
abstract	introduction	Among various photovoltaic (PV) technologies, organic-inorganic hybrid perovskite solar cells (PSCs) have the greatest potential because of their high absorption coefficient, long carrier diffusion length, low exciton binding energy and large-scale solution preparation.	1	1	10.1038/s41467-024-55653-5	Among various photovoltaic (PV) technologies, organic-inorganic hybrid perovskite solar cells (PSCs) have the greatest potential because of their high absorption coefficient, long carrier diffusion length, low exciton binding energy and large-scale solution preparation.
introduction	results	As had been proven, functional molecules containing –P, –N, –S and –O negative electron units could effectively passivate Lewis acid defects (such as undercoordinated Pb#+) by forming coordination covalent bonds, where the binding energy between –P units and the perovskite was the strongest.	1	1	10.1038/s41467-024-55653-5	As had been proven, functional molecules containing –P, –N, –S and –O negative electron units could effectively passivate Lewis acid defects (such as undercoordinated Pb2+) by forming coordination covalent bonds, where the binding energy between –P units and the perovskite was the strongest.
results	discussion	In this work, we presented an interfacial dipole reconstruction strategy to enlarge the interfacial dipole moment up to # D and simultaneously regulate the interfacial dipole orientation, thus providing a desirable dipole, by inserting #DPAA as an interfacial dipolar chemical bridge.	1	1	10.1038/s41467-024-55653-5	In this work, we presented an interfacial dipole reconstruction strategy to enlarge the interfacial dipole moment up to 5.10 D and simultaneously regulate the interfacial dipole orientation, thus providing a desirable dipole, by inserting 2DPAA as an interfacial dipolar chemical bridge.
discussion	methods	All chemicals were used as received: Lead(II) chloride (PbCl#, #%), formamidinium iodide (FAI, #%), lead(II) iodide (PbI#, #%), cesium iodide (CsI, #%) and magnesium fluoride (MgF#, #%) were obtained from Xi'an Yuri Solar Co., Ltd.	1	1	10.1038/s41467-024-55653-5	All chemicals were used as received: Lead(II) chloride (PbCl2, 99.9%), formamidinium iodide (FAI, 99.5%), lead(II) iodide (PbI2, 99.999%), cesium iodide (CsI, 99.99%) and magnesium fluoride (MgF2, 99.99%) were obtained from Xi'an Yuri Solar Co., Ltd.
abstract	introduction	Interface engineering is a crucial strategy in enhancing the overall performance of perovskite solar cells (pero-SCs), by improving film morphology, charge carrier dynamics, and reducing interface charge recombination.	1	1	10.1038/s41467-025-66421-4	Interface engineering is a crucial strategy in enhancing the overall performance of perovskite solar cells (pero-SCs), by improving film morphology, charge carrier dynamics, and reducing interface charge recombination.
introduction	results	The molecular structure of MeOF-#SHCz is presented in Fig. #a, and the synthesis procedures of MeOF-#SHCz are described in the Methods section.	1	1	10.1038/s41467-025-66421-4	The molecular structure of MeOF-4SHCz is presented in Fig. 1a, and the synthesis procedures of MeOF-4SHCz are described in the Methods section.
results	discussion	In conclusion, we present a ROI-SAM strategy utilizing the difference in the reaction driving forces between −SH group and −PO(OH)# group to target the Ni#+-rich and Ni#+-rich regions on the NiOx substrate, respectively.	1	1	10.1038/s41467-025-66421-4	In conclusion, we present a ROI-SAM strategy utilizing the difference in the reaction driving forces between −SH group and −PO(OH)2 group to target the Ni3+-rich and Ni2+-rich regions on the NiOx substrate, respectively.
discussion	methods	Cesium iodide (CsI, #%), dimethyl formamide (DMF, anhydrous) and dimethyl sulfoxide (DMSO, anhydrous) were purchased from Sigma-Aldrich.	1	1	10.1038/s41467-025-66421-4	Cesium iodide (CsI, 99.9%), dimethyl formamide (DMF, anhydrous) and dimethyl sulfoxide (DMSO, anhydrous) were purchased from Sigma-Aldrich.
abstract	introduction	Perovskite solar cells (PSCs) are widely recognized as a promising next-generation photovoltaic technology and have achieved certified power conversion efficiency (PCE) exceeding #%.	1	1	10.1038/s41467-026-69198-2	Perovskite solar cells (PSCs) are widely recognized as a promising next-generation photovoltaic technology and have achieved certified power conversion efficiency (PCE) exceeding 27%.
introduction	results	The synthetic routes and detailed procedures for both SAMs are illustrated in Supplementary Fig. #	1	1	10.1038/s41467-026-69198-2	The synthetic routes and detailed procedures for both SAMs are illustrated in Supplementary Fig. 1.
results	discussion	We develop a strategy for modifying the perovskite/HTL interface using SAMs.	1	1	10.1038/s41467-026-69198-2	We develop a strategy for modifying the perovskite/HTL interface using SAMs.
discussion	methods	Fluorine doped tin oxide (FTO) coated glass (TEC; # Ω sq−#, Advanced Election Technology Co., Ltd.), formamidinium iodide (FAI; #%, Advanced Election Technology Co., Ltd.), lead (II) iodide (PbI#; #%, Advanced Election Technology Co., Ltd.), Spiro-OMeTAD (#%, Advanced Election Technology Co., Ltd.), Nickel oxide nanoparticles (NiOx, #%, Advanced Election Technology Co., Ltd.), Fullerene (C#, #%, Advanced Election Technology Co., Ltd.), Bathocuproine (BCP, #%, Advanced Election Technology Co., Ltd.), Hellmanex (special cleaning concentrate for cuvettes, Sigma Aldrich), isopropyl alcohol (IPA; #%, TCI), ethyl ether (Et#O; Sinopharm Chemical Reagent), chloroform (CF; Sinopharm Chemical Reagent), titanium diisopropoxide bis(acetylacetonate) (#% in TPA, TCI), ethanol (≥#%, Aladdin), tin (IV) oxide (SnO#) colloid precursor (#% in H#O colloidal dispersion, Alfa Aesar), polyacrylic acid (PAA, avg.	1	1	10.1038/s41467-026-69198-2	Fluorine doped tin oxide (FTO) coated glass (TEC; 7 Ω sq−1, Advanced Election Technology Co., Ltd.), formamidinium iodide (FAI; 99.90%, Advanced Election Technology Co., Ltd.), lead (II) iodide (PbI2; 99.999%, Advanced Election Technology Co., Ltd.), Spiro-OMeTAD (99.86%, Advanced Election Technology Co., Ltd.), Nickel oxide nanoparticles (NiOx, 99.999%, Advanced Election Technology Co., Ltd.), Fullerene (C60, 99.5%, Advanced Election Technology Co., Ltd.), Bathocuproine (BCP, 99.5%, Advanced Election Technology Co., Ltd.), Hellmanex (special cleaning concentrate for cuvettes, Sigma Aldrich), isopropyl alcohol (IPA; 99.9%, TCI), ethyl ether (Et2O; Sinopharm Chemical Reagent), chloroform (CF; Sinopharm Chemical Reagent), titanium diisopropoxide bis(acetylacetonate) (75% in TPA, TCI), ethanol (≥99.5%, Aladdin), tin (IV) oxide (SnO2) colloid precursor (15% in H2O colloidal dispersion, Alfa Aesar), polyacrylic acid (PAA, avg.
abstract	introduction	Self-assembled monolayers (SAMs), such as (#-(#H-carbazol-#-yl)ethyl)phosphonic acid (#PACz) and its derivatives, have emerged as promising hole transport layers (HTLs) in inverted perovskite solar cells (PSCs).	1	1	10.1038/s41467-026-71301-6	Self-assembled monolayers (SAMs), such as (2-(9H-carbazol-9-yl)ethyl)phosphonic acid (2PACz) and its derivatives, have emerged as promising hole transport layers (HTLs) in inverted perovskite solar cells (PSCs).
introduction	results	As shown in Fig. #a, c, Ph-#PACz and Nd, based on a fused pyrrole-benzene framework, possess carbazole and indole cores, respectively.	1	1	10.1038/s41467-026-71301-6	As shown in Fig. 1a, c, Ph-4PACz and Nd, based on a fused pyrrole-benzene framework, possess carbazole and indole cores, respectively.
results	discussion	In summary, we demonstrate an indole-carbazole alternating co-adsorption strategy to fabricate uniform SAMs by introducing Nd into Ph-#PACz.	1	1	10.1038/s41467-026-71301-6	In summary, we demonstrate an indole-carbazole alternating co-adsorption strategy to fabricate uniform SAMs by introducing Nd into Ph-4PACz.
discussion	methods	All chemical materials purchased from commercial suppliers were directly employed without further purification.	1	1	10.1038/s41467-026-71301-6	All chemical materials purchased from commercial suppliers were directly employed without further purification.
abstract	introduction	In organic solar cells (OSCs), both charge generation and charge recombination occur at the donor (D)–acceptor (A) interfaces.	1	1	10.1038/s41467-022-29702-w	In organic solar cells (OSCs), both charge generation and charge recombination occur at the donor (D)–acceptor (A) interfaces.
introduction	results	ELA in quasi-bilayer D–A films	1	1	10.1038/s41467-022-29702-w	ELA in quasi-bilayer D–A films
results	discussion	The ELA at organic heterojunctions typically follows the ICT model, and as noted, all of the materials studied display the expected behavior when deposited onto inorganic and organic conducting substrates.	1	1	10.1038/s41467-022-29702-w	The ELA at organic heterojunctions typically follows the ICT model, and as noted, all of the materials studied display the expected behavior when deposited onto inorganic and organic conducting substrates.
discussion	methods	Materials and film fabrication	1	1	10.1038/s41467-022-29702-w	Materials and film fabrication
abstract	introduction	With the continued scaling of silicon (Si) complementary metal-oxide-semiconductor (CMOS) technology, the influence of source/drain contact resistance on the performance of metal-oxide-semiconductor field-effect transistors (MOSFETs) has been increasingly significant due to a smaller contact area and is now becoming a major bottleneck for advanced transistor performance scaling.	1	1	10.1038/s41467-025-65695-y	With the continued scaling of silicon (Si) complementary metal-oxide-semiconductor (CMOS) technology, the influence of source/drain contact resistance on the performance of metal-oxide-semiconductor field-effect transistors (MOSFETs) has been increasingly significant due to a smaller contact area and is now becoming a major bottleneck for advanced transistor performance scaling.
introduction	results	Schottky barrier height comparison of metal–Si and metal–Ge	1	1	10.1038/s41467-025-65695-y	Schottky barrier height comparison of metal–Si and metal–Ge
results	discussion	In addition to passivating the surface dangling bonds, there is another way to have the DBSS out of the middle bandgap to alleviate the FLP.	1	1	10.1038/s41467-025-65695-y	In addition to passivating the surface dangling bonds, there is another way to have the DBSS out of the middle bandgap to alleviate the FLP.
discussion	methods	We constructed (#)-oriented metal–Si (Ge) interface comprising # atomic layers of Si (Ge) and # layers of metals.	1	1	10.1038/s41467-025-65695-y	We constructed (001)-oriented metal–Si (Ge) interface comprising 13 atomic layers of Si (Ge) and 9 layers of metals.
abstract	introduction	Interfacial polarization is a cornerstone of modern oxide electronics, playing a pivotal role in phenomena ranging from two-dimensional electron gases at perovskite interfaces to emergent ferroelectricity in confined geometries.	1	1	10.1038/s41467-026-69200-x	Interfacial polarization is a cornerstone of modern oxide electronics, playing a pivotal role in phenomena ranging from two-dimensional electron gases at perovskite interfaces to emergent ferroelectricity in confined geometries.
introduction	results	Epitaxial, atomically precise RuO# heterostructures via hybrid MBE	1	1	10.1038/s41467-026-69200-x	Epitaxial, atomically precise RuO2 heterostructures via hybrid MBE
results	discussion	In summary, our study demonstrates the coexistence of interfacial polarization and metallicity in epitaxial RuO#/TiO# heterostructures and their controllability via epitaxial design.	1	1	10.1038/s41467-026-69200-x	In summary, our study demonstrates the coexistence of interfacial polarization and metallicity in epitaxial RuO2/TiO2 heterostructures and their controllability via epitaxial design.
discussion	methods	Hybrid MBE and structural characterizations	1	1	10.1038/s41467-026-69200-x	Hybrid MBE and structural characterizations
abstract	introduction	Organicinorganic perovskites have received extensive attention in recent years in view of their attractive electrical and optical properties.	1	1	alhtl_2017_cspbbr3-moo3-hil-peled	Organicinorganic perovskites have received extensive attention in recent years in view of their attractive electrical and optical properties.
introduction	results	Morphology of CsPbBr₃ films	1	1	alhtl_2017_cspbbr3-moo3-hil-peled	Morphology of CsPbBr₃ films
results	discussion	We found that the improvement via PVP could be due to three reasons.	1	1	alhtl_2017_cspbbr3-moo3-hil-peled	We found that the improvement via PVP could be due to three reasons.
discussion	methods	Preparation of perovskite solution and ZnO nanoparticles	1	1	alhtl_2017_cspbbr3-moo3-hil-peled	Preparation of perovskite solution and ZnO nanoparticles
abstract	introduction	Recently metal halide perovskites have shown considerable potential for applications in optoelectronic devices including solar cells light-emitting diodes (LEDs) photodetectors and lasers.	1	1	10.1038/s43246-020-00084-0	Recently metal halide perovskites have shown considerable potential for applications in optoelectronic devices including solar cells light-emitting diodes (LEDs) photodetectors and lasers.
introduction	results	Electric dipole and field-dependent hole hopping theory	1	1	10.1038/s43246-020-00084-0	Electric dipole and field-dependent hole hopping theory
results	discussion	In summary we report a unique strategy by introducing a MoO₃ electric dipole layer to enhance the hole injection for efficient PeLED.	1	1	10.1038/s43246-020-00084-0	In summary we report a unique strategy by introducing a MoO₃ electric dipole layer to enhance the hole injection for efficient PeLED.
discussion	methods	We prepared the perovskite nanocrystals (FAPb₁₋xSnxBr₃) according to ref. .	1	1	10.1038/s43246-020-00084-0	We prepared the perovskite nanocrystals (FAPb₁₋xSnxBr₃) according to ref. .
abstract	introduction	With the increasing demand for multi-functional and intelligent electronic equipment interactive displays have promising application prospects in many scenarios in real life.	1	1	10.1038/s41377-022-01036-8	With the increasing demand for multi-functional and intelligent electronic equipment interactive displays have promising application prospects in many scenarios in real life.
introduction	results	Figure #a shows a conceptual diagram of an optical interactive display based on pixelated SD-PQLED.	1	1	10.1038/s41377-022-01036-8	Figure 1a shows a conceptual diagram of an optical interactive display based on pixelated SD-PQLED.
results	discussion	In summary we have prepared light-emitting devices based on PQDs that can realize the dual-function applications of photosensitive/display in non-contact mode.	1	1	10.1038/s41377-022-01036-8	In summary we have prepared light-emitting devices based on PQDs that can realize the dual-function applications of photosensitive/display in non-contact mode.
discussion	methods	All chemicals were obtained commercially and without further purification.	1	1	10.1038/s41377-022-01036-8	All chemicals were obtained commercially and without further purification.
abstract	introduction	Tandem photovoltaics with complementary absorbing sub-cells are a promising pathway to surpass the detailed balance limit of single-junction solar cells stimulating intense interest.	1	1	10.1038/s41467-024-55376-7	Tandem photovoltaics with complementary absorbing sub-cells are a promising pathway to surpass the detailed balance limit of single-junction solar cells stimulating intense interest.
introduction	results	Morphology modulation of Au NPs	1	1	10.1038/s41467-024-55376-7	Morphology modulation of Au NPs
results	discussion	In summary we develop a highly efficient ICL structure for n-i-p perovskite-organic tandem solar cells.	1	1	10.1038/s41467-024-55376-7	In summary we develop a highly efficient ICL structure for n-i-p perovskite-organic tandem solar cells.
discussion	methods	Lead iodide (PbI₂, #%) was purchased from TCI Development Co.	1	1	10.1038/s41467-024-55376-7	Lead iodide (PbI₂, 99.99%) was purchased from TCI Development Co.
