section	opener_3gram	total_occurrences	paper_count	top_papers
results	therefore we can	6	6	10.1038/s41377-022-00992-5;10.1038/s41467-019-08749-2;10.1038/s41467-020-14747-6;10.1038/s41467-023-43408-7;10.1038/s41467-025-56815-9
results	fourier transform infrared	6	6	10.1038/s41377-022-01036-8;10.1038/s41377-025-01867-1;10.1038/s41377-026-02237-1;10.1038/s41467-024-47184-w;10.1038/s41467-024-55653-5
abstract	colloidal quantum dots	6	6	10.1038/s41377-025-01972-1;10.1038/s41467-018-06294-y;10.1038/s41467-020-14756-5;10.1038/s41467-022-31189-4;10.1038/s41467-023-39531-0
results	figure 5a shows	6	6	10.1038/s41467-018-07383-8;10.1038/s41467-019-08561-y;10.1038/s41467-019-13951-3;10.1038/s41467-023-41868-5;10.1038/s41467-023-43340-w
methods	the j-v characteristics	6	6	10.1038/s41377-025-01835-9;10.1038/s41467-018-07099-9;10.1038/s41467-024-55376-7;10.1038/s41467-025-56068-6;10.1038/s41467-025-58047-3
methods	after cooling to	6	6	10.1038/s41467-023-41929-9;10.1038/s41467-024-47184-w;10.1038/s41467-025-59515-6;10.1038/s41467-025-62345-1;10.1038/s41467-025-66421-4
results	in addition a	6	6	10.1038/s41467-018-02978-7;10.1038/s41467-018-06425-5;10.1038/s41467-023-43472-z;10.1038/s41467-024-49751-7;10.1038/s41467-025-64111-9
introduction	quantum dot light-emitting	6	6	10.1038/s41377-022-00855-z;10.1038/s41377-025-02000-y;10.1038/s41467-018-04986-z;10.1038/s41467-025-57304-9;10.1038/s41467-025-59527-2
results	in fig. 3a	6	6	10.1038/s41377-022-00992-5;10.1038/s41467-019-08749-2;10.1038/s41467-022-31853-9;10.1038/s41467-024-52401-7;10.1038/s41467-024-53965-0
methods	nmr spectra were	6	6	10.1038/s41467-023-36118-7;10.1038/s41467-024-55653-5;10.1038/s41467-025-63684-9;10.1038/s41467-026-69198-2;10.1038/s41467-026-71301-6
results	it is important	6	6	10.1038/s41467-018-06425-5;10.1038/s41467-022-31478-y;10.1038/s41467-023-41041-y;10.1038/s41467-024-52521-0;10.1038/s41467-024-55812-8
results	the control device	6	5	10.1038/s41467-020-14747-6;10.1038/s41467-018-07099-9;10.1038/s41467-024-51760-5;10.1038/s41467-024-55653-5;10.1038/s41467-025-59515-6
results	from the above	6	4	10.1038/s41467-020-17633-3;10.1038/s41377-022-00992-5;10.1038/s41377-026-02247-z;10.1038/s41467-020-16865-7
methods	then the mixture	6	6	10.1038/s41377-026-02246-0;10.1038/s41467-024-47184-w;10.1038/s41467-024-50432-8;10.1038/s41467-024-55619-7;10.1038/s41467-025-63684-9
results	to validate this	6	6	10.1038/s41467-025-56987-4;10.1038/s41467-025-57746-1;10.1038/s41467-025-64111-9;10.1038/s41467-025-65695-y;10.1038/s41467-025-65871-0
results	to investigate this	6	5	10.1038/s41467-026-69198-2;10.1038/s41467-021-22864-z;10.1038/s41467-024-53221-5;10.1038/s41467-025-64696-1;10.1038/s41928-024-01205-0
results	thus it can	6	3	10.1038/s43246-024-00645-7;10.1038/s41467-021-24931-x;10.1038/s41467-026-73911-6
results	the value of	6	5	10.1038/s41467-024-55653-5;10.1038/s41377-024-01601-3;10.1038/s41377-026-02356-9;10.1038/s41586-023-05855-6;qdp_2014_carrier-multiplication-quasi-type-ii
introduction	one of the	6	6	10.1038/s41377-024-01727-4;10.1038/s41377-025-01740-1;10.1038/s41467-019-08561-y;10.1038/s41467-022-31853-9;10.1038/s41467-024-53965-0
methods	the precursor solutions	6	6	10.1038/s41467-018-06425-5;10.1038/s41467-019-09794-7;10.1038/s41467-020-20582-6;10.1038/s41467-023-40150-y;10.1038/s41467-025-61085-6
methods	for the calculation	6	5	10.1038/s41586-024-07149-x;10.1038/s41377-020-0328-6;10.1038/s41467-020-20582-6;10.1038/s41467-021-20970-6;10.1038/s41467-024-45945-1
abstract	this work provides	6	6	10.1038/s41467-019-13909-5;10.1038/s41467-020-14747-6;10.1038/s41467-025-56001-x;10.1038/s41467-025-58470-6;10.1038/s41467-025-63653-2
results	the el peak	6	6	10.1038/s41377-025-01740-1;10.1038/s41467-018-02978-7;10.1038/s41467-018-06425-5;10.1038/s41467-022-31853-9;10.1038/s41467-023-36773-w
methods	based on the	6	6	10.1038/s41467-020-14747-6;10.1038/s41467-022-29812-5;10.1038/s41467-023-40194-0;10.1038/s41467-025-58471-5;10.1038/s41467-025-60886-z
methods	finally the devices	6	6	10.1038/s41377-022-00855-z;10.1038/s41377-025-01768-3;10.1038/s41467-018-06425-5;10.1038/s41467-023-43340-w;10.1038/s41467-024-55376-7
results	the binding energy	6	6	10.1038/s41467-020-15481-9;10.1038/s41467-021-20970-6;10.1038/s41467-025-57746-1;10.1038/s41467-025-58047-3;10.1038/s41467-025-66421-4
introduction	in contrast to	6	6	10.1038/s41467-019-12558-y;10.1038/s41467-022-29702-w;10.1038/s41467-022-32010-y;10.1038/s41467-023-40194-0;10.1038/s43246-024-00576-3
results	the absorption spectra	6	5	10.1038/s41467-025-56557-8;10.1038/s41467-019-13951-3;10.1038/s41467-020-14747-6;10.1038/s41467-025-64696-1;10.1038/s43246-026-01177-y
results	when the applied	6	5	10.1038/s41467-022-28037-w;10.1038/s41467-019-08749-2;10.1038/s41467-021-24762-w;10.1038/s41467-023-36773-w;10.1038/s43246-020-00084-0
introduction	this leads to	6	6	10.1038/s41377-024-01727-4;10.1038/s41467-018-06425-5;10.1038/s41467-024-55376-7;10.1038/s41467-025-57304-9;10.1038/s41467-025-65135-x
results	we expect that	6	6	10.1038/s41467-021-24762-w;10.1038/s41467-024-49751-7;10.1038/s41467-024-53221-5;10.1038/s41467-025-56987-4;10.1038/s41467-025-58471-5
results	the el spectrum	6	5	10.1038/s41377-026-02246-0;10.1038/s41467-020-20582-6;10.1038/s41467-021-21522-8;10.1038/s41467-023-40150-y;10.1038/s41563-024-01812-4
introduction	this results in	6	6	10.1038/s41377-024-01727-4;10.1038/s41377-025-01740-1;10.1038/s41467-018-06425-5;10.1038/s41467-025-65871-0;10.1038/s41467-026-69198-2
results	we also investigated	6	6	10.1038/s41377-024-01704-x;10.1038/s41377-025-01959-y;10.1038/s41377-026-02237-1;10.1038/s41467-022-29812-5;10.1038/s41467-024-55653-5
results	for the control	6	6	10.1038/s41377-026-02231-7;10.1038/s41467-021-21522-8;10.1038/s41467-024-50508-5;10.1038/s41467-025-57304-9;10.1038/s41467-025-65871-0
methods	the active device	6	6	10.1038/s41467-018-06425-5;10.1038/s41467-020-14747-6;10.1038/s41467-025-58471-5;10.1038/s41467-025-61085-6;10.1038/s41563-025-02123-y
results	the luminance of	6	5	10.1038/s41467-025-56001-x;10.1038/s41467-020-15481-9;10.1038/s41467-022-31853-9;10.1038/s41467-023-43340-w;10.1038/s41467-024-50634-0
results	however it is	6	6	10.1038/s41377-020-0328-6;10.1038/s41467-023-43408-7;10.1038/s41467-024-52401-7;10.1038/s41467-024-55376-7;10.1038/s41586-023-05855-6
results	the distribution of	6	5	10.1038/s41467-025-63209-4;10.1038/s41377-024-01500-7;10.1038/s41377-025-01959-y;10.1038/s41467-024-51760-5;10.1038/s41467-026-71949-0
methods	the fabrication process	6	6	10.1038/s41467-022-31853-9;10.1038/s41467-023-41868-5;10.1038/s41467-024-52521-0;10.1038/s41467-025-59527-2;10.1038/s41467-025-67347-7
methods	the projector augmented	6	6	10.1038/s41377-022-00992-5;10.1038/s41377-024-01704-x;10.1038/s41377-026-02237-1;10.1038/s41377-026-02246-0;10.1038/s41467-025-58047-3
results	the x-ray photoelectron	6	6	10.1038/s41377-022-00855-z;10.1038/s41377-026-02231-7;10.1038/s41467-020-18006-6;10.1038/s41467-022-32010-y;10.1038/s41467-024-50022-8
results	the in situ	6	3	10.1038/s41467-025-58471-5;10.1038/s41467-024-50893-x;10.1038/s41467-026-71949-0
introduction	herein we report	6	6	10.1038/s41377-025-01768-3;10.1038/s41467-018-07099-9;10.1038/s41467-024-50432-8;10.1038/s41467-025-56557-8;10.1038/s41467-025-63209-4
methods	the probe pulses	6	6	10.1038/s41467-019-09794-7;10.1038/s41467-025-61511-9;10.1038/s41467-026-71292-4;10.1038/s41467-026-73911-6;10.1038/s41566-024-01458-3
results	the pl peak	6	5	10.1038/s43246-026-01136-7;10.1038/s41467-018-06425-5;10.1038/s41467-019-13951-3;10.1038/s41467-024-50022-8;10.1038/s43246-026-01177-y
results	the decrease of	6	5	10.1038/s43246-021-00203-5;10.1038/s41377-025-01959-y;10.1038/s41467-020-15944-z;10.1038/s41467-024-53221-5;10.1038/s41563-025-02123-y
methods	all devices were	6	6	10.1038/s41377-022-00855-z;10.1038/s41467-019-08749-2;10.1038/s41467-020-14756-5;10.1038/s41467-022-31478-y;10.1038/s41467-025-58470-6
results	the tem images	6	5	10.1038/s43246-026-01136-7;10.1038/s41377-022-00855-z;10.1038/s41467-021-27652-3;10.1038/s41467-025-63653-2;10.1038/s41467-025-67347-7
results	it is clear	6	3	10.1038/s41467-018-05760-x;10.1038/s41467-019-09794-7;10.1038/s41467-021-22864-z
methods	then the samples	6	6	10.1038/s41467-018-07383-8;10.1038/s41467-020-16659-x;10.1038/s41467-022-28037-w;10.1038/s41467-025-58047-3;10.1038/s41467-026-71292-4
results	as summarized in	6	5	10.1038/s41467-022-29702-w;10.1038/s41467-021-24616-5;10.1038/s41467-023-35954-x;10.1038/s41467-024-55376-7;10.1038/s41467-026-74198-3
methods	synthesis of znmgo	6	6	10.1038/s41377-025-02000-y;10.1038/s41467-023-35954-x;10.1038/s41467-024-44894-z;10.1038/s41467-025-62345-1;10.1038/s41467-025-65871-0
results	the turn-on voltage	6	6	10.1038/s41377-022-00992-5;10.1038/s41467-021-24762-w;10.1038/s41467-023-36118-7;10.1038/s41467-024-50508-5;10.1038/s41467-025-65135-x
results	figure 3b shows	6	6	10.1038/s41467-021-24616-5;10.1038/s41467-022-28480-9;10.1038/s41467-023-36773-w;10.1038/s41467-023-38216-y;10.1038/s41467-024-46243-6
results	we anticipate that	6	4	10.1038/s41467-025-57472-8;10.1038/s41467-018-06425-5;10.1038/s41467-021-22864-z;10.1038/s41467-026-75756-5
results	the photoluminescence pl	6	6	10.1038/s41377-025-01972-1;10.1038/s41467-018-02978-7;10.1038/s41467-023-36118-7;10.1038/s41467-023-39488-0;10.1038/s41467-025-56557-8
results	the incorporation of	6	6	10.1038/s41467-024-51760-5;10.1038/s41467-025-61085-6;10.1038/s41467-025-64546-0;10.1038/s41467-026-71301-6;10.1038/s41563-025-02123-y
methods	prior to use	6	6	10.1038/s41467-018-04986-z;10.1038/s41467-019-13951-3;10.1038/s41467-020-15481-9;10.1038/s41467-022-35731-2;10.1038/s41467-025-56068-6
results	we observed a	6	5	10.1038/s41377-024-01704-x;10.1038/s41467-021-25955-z;10.1038/s41467-023-36773-w;10.1038/s43246-026-01177-y;qdp_2016_inas-qd-size-tunable-nir-emission
results	the current density-voltage-luminance	6	6	10.1038/s41377-025-01740-1;10.1038/s41377-025-01817-x;10.1038/s41467-024-52401-7;10.1038/s41467-025-56001-x;10.1038/s41467-025-57304-9
results	it is apparent	6	2	10.1038/s41467-018-05760-x;10.1038/s41467-021-22864-z
methods	giwaxs measurements were	6	6	10.1038/s41467-025-61085-6;10.1038/s41467-025-64111-9;10.1038/s41467-025-65871-0;10.1038/s41467-026-71292-4;10.1038/s41467-026-71301-6
results	to gain more	6	5	10.1038/s43246-026-01136-7;10.1038/s41467-019-08561-y;10.1038/s41467-022-29702-w;10.1038/s41467-024-51760-5;10.1038/s41467-026-74583-y
results	the absorption and	6	5	10.1038/s43246-026-01136-7;10.1038/s41377-025-01740-1;10.1038/s41467-019-13951-3;10.1038/s41467-021-24616-5;10.1038/s41467-025-64696-1
methods	the indium tin	5	5	10.1038/s41377-026-02237-1;10.1038/s41467-018-02978-7;10.1038/s41467-024-55376-7;10.1038/s41467-025-65135-x;10.1038/s41467-026-71292-4
methods	the peleds were	5	4	10.1038/s41467-024-49838-1;10.1038/s41467-020-20433-4;10.1038/s41467-023-40150-y;10.1038/s41467-026-72733-w
results	to investigate whether	5	5	10.1038/s41467-021-22864-z;10.1038/s41467-022-28037-w;10.1038/s41467-024-44894-z;10.1038/s41467-024-47891-4;10.1038/s41467-026-74583-y
results	in contrast when	5	5	10.1038/s41377-025-01867-1;10.1038/s41377-026-02246-0;10.1038/s41467-025-63684-9;10.1038/s41563-024-01812-4;10.1038/s43246-026-01136-7
results	the results indicated	5	2	10.1038/s41467-024-55653-5;10.1038/s41467-024-54160-x
methods	the qd layer	5	4	qc_2015_wearable-rgb-qled-array;10.1038/s41377-025-01959-y;10.1038/s41467-022-31853-9;10.1038/s41467-025-64696-1
introduction	however due to	5	4	10.1038/s41467-022-32010-y;10.1038/s41467-024-53221-5;10.1038/s41467-024-54160-x;10.1038/s41467-026-72625-z
introduction	in other words	5	3	10.1038/s41377-024-01601-3;10.1038/s41467-020-15944-z;10.1038/s41467-026-74151-4
results	in principle the	5	5	10.1038/s41467-017-01379-6;10.1038/s41467-019-13909-5;10.1038/s41467-022-32010-y;10.1038/s41467-025-57472-8;10.1038/s41467-025-58471-5
results	as exhibited in	5	4	10.1038/s41467-025-63389-z;10.1038/s41467-020-20555-9;10.1038/s41467-024-55376-7;10.1038/s41467-026-73911-6
introduction	in this regard	5	5	10.1038/s41467-017-01379-6;10.1038/s41467-019-13909-5;10.1038/s41467-020-16855-9;10.1038/s41467-020-17633-3;10.1038/s43246-021-00203-5
results	the variation of	5	5	10.1038/s41377-024-01601-3;10.1038/s41377-025-01740-1;10.1038/s41467-021-25955-z;10.1038/s41467-024-49574-6;10.1038/s41467-026-68315-5
results	we extracted the	5	5	10.1038/s41377-026-02237-1;10.1038/s41467-020-20555-9;10.1038/s41467-024-47184-w;10.1038/s41467-024-55619-7;10.1038/s41467-025-67347-7
discussion	this work demonstrates	5	5	10.1038/s41467-020-16865-7;10.1038/s41467-023-41929-9;10.1038/s41467-024-49574-6;10.1038/s41467-024-49838-1;10.1038/s41467-025-67737-x
methods	absorption spectra of	5	5	10.1038/s41467-021-24762-w;10.1038/s41467-022-29812-5;10.1038/s41467-022-31189-4;10.1038/s41467-022-32010-y;10.1038/s41467-025-58471-5
results	the relationship between	5	5	10.1038/s41377-024-01601-3;10.1038/s41467-022-29702-w;10.1038/s41467-024-51760-5;10.1038/s41467-025-56815-9;10.1038/s43246-024-00645-7
results	to further evaluate	5	5	10.1038/s41467-025-56068-6;10.1038/s41467-025-66981-5;10.1038/s41467-025-67347-7;10.1038/s41467-026-72625-z;10.1038/s41467-026-74583-y
results	the morphology of	5	5	10.1038/s41377-022-00855-z;10.1038/s41377-026-02184-x;10.1038/s41467-020-14747-6;10.1038/s41467-023-38216-y;10.1038/s41467-026-70555-4
methods	the spin-coating speed	5	1	10.1038/s41467-022-32010-y
results	transient absorption ta	5	5	10.1038/s41377-025-01740-1;10.1038/s41377-026-02184-x;10.1038/s41467-019-09794-7;10.1038/s41467-023-36118-7;10.1038/s41563-025-02123-y
methods	afm measurements were	5	5	10.1038/s41467-019-09794-7;10.1038/s41467-022-29702-w;10.1038/s41467-024-51760-5;10.1038/s41467-025-56557-8;10.1038/s41467-026-74583-y
results	figure 3d shows	5	5	10.1038/s41377-022-01036-8;10.1038/s41467-021-24616-5;10.1038/s41467-021-24762-w;10.1038/s41467-022-31853-9;10.1038/s41467-023-41868-5
results	we analyzed the	5	5	10.1038/s41467-023-43408-7;10.1038/s41467-024-47184-w;10.1038/s41467-025-57200-2;10.1038/s41467-025-66421-4;10.1038/s43246-026-01177-y
results	the perovskite precursor	5	5	10.1038/s41467-021-21522-8;10.1038/s41467-021-24616-5;10.1038/s41467-023-40150-y;10.1038/s41467-025-61085-6;10.1038/s41467-025-66421-4
methods	the temperature of	5	4	10.1038/s41467-024-55619-7;10.1038/s41377-024-01727-4;10.1038/s41467-020-16865-7;10.1038/s41928-024-01181-5
methods	the precursor solution	5	5	10.1038/s41467-018-05760-x;10.1038/s41467-018-05909-8;10.1038/s41467-025-56557-8;10.1038/s41467-025-58470-6;10.1038/s41467-026-71292-4
results	as the applied	5	5	10.1038/s41467-022-28037-w;10.1038/s41467-023-40150-y;10.1038/s41467-024-44894-z;10.1038/s41467-025-57304-9;10.1038/s41467-026-74583-y
results	this in turn	5	5	10.1038/s41467-018-07383-8;10.1038/s41467-022-31189-4;10.1038/s41467-024-49791-z;10.1038/s41467-026-71949-0;10.1038/s43246-026-01136-7
methods	the current density-voltage-luminance	5	5	10.1038/s41377-025-01867-1;10.1038/s41467-024-52401-7;10.1038/s41467-025-58471-5;10.1038/s41467-025-67737-x;10.1038/s41467-026-72733-w
methods	the xrd patterns	5	5	10.1038/s41467-020-20555-9;10.1038/s41467-021-27652-3;10.1038/s41467-025-56001-x;10.1038/s41467-026-71292-4;10.1038/s41467-026-73911-6
introduction	benefiting from the	5	5	10.1038/s41377-024-01500-7;10.1038/s41377-025-01835-9;10.1038/s41467-023-40150-y;10.1038/s41467-025-56001-x;10.1038/s41586-024-07360-w
introduction	for example a	5	5	10.1038/s41377-022-01036-8;10.1038/s41377-024-01500-7;10.1038/s41467-019-13909-5;10.1038/s41467-020-17633-3;10.1038/s41467-022-35731-2
methods	the flask was	5	4	10.1038/s41467-024-55619-7;10.1038/s41467-025-57746-1;10.1038/s41467-025-63684-9;qdp_2014_carrier-multiplication-quasi-type-ii
results	this trend is	5	5	10.1038/s41467-020-16560-7;10.1038/s41467-022-29702-w;10.1038/s41467-026-69198-2;10.1038/s42005-021-00742-w;qdp_2013_auger-control-carrier-kinetics
results	these results show	5	5	10.1038/s41467-018-05909-8;10.1038/s41467-025-56987-4;10.1038/s41467-025-64546-0;10.1038/s41928-024-01205-0;10.1038/s43246-024-00645-7
results	analysis of the	5	5	10.1038/s41467-022-29538-4;10.1038/s41467-024-49751-7;10.1038/s41467-025-58047-3;10.1038/s41467-025-62345-1;10.1038/s43246-026-01177-y
methods	the external quantum	5	5	10.1038/s41377-026-02237-1;10.1038/s41467-025-56068-6;10.1038/s41467-025-63389-z;10.1038/s41467-025-64596-4;10.1038/s41467-026-72115-2
results	for the target	5	3	10.1038/s41377-026-02247-z;10.1038/s41467-026-71292-4;10.1038/s41467-026-72115-2
methods	the red qd	5	1	10.1038/s41467-024-45944-2
methods	the power density	5	4	10.1038/s41467-020-15944-z;10.1038/s41467-023-35954-x;10.1038/s41467-025-56815-9;10.1038/s41467-025-58471-5
methods	for the fabrication	5	5	10.1038/s41467-024-50432-8;10.1038/s41467-025-58047-3;10.1038/s41563-024-01812-4;10.1038/s41566-024-01458-3;10.1038/s43246-024-00645-7
results	in addition as	5	5	10.1038/s41467-019-13909-5;10.1038/s41467-025-58047-3;10.1038/s41467-025-63653-2;10.1038/s41467-025-64696-1;10.1038/s43246-021-00203-5
methods	the qleds were	5	5	10.1038/s41377-022-00855-z;10.1038/s41467-020-14756-5;10.1038/s41467-021-25955-z;10.1038/s41467-023-35954-x;10.1038/s41467-025-57304-9
results	as shown by	5	4	10.1038/s41467-023-43340-w;10.1038/s41467-018-06425-5;10.1038/s41467-024-50893-x;10.1038/s41563-025-02123-y
results	it shows that	5	5	10.1038/s41377-022-01036-8;10.1038/s41467-023-36773-w;10.1038/s41467-025-67347-7;10.1038/s41467-026-72733-w;10.1038/s41467-026-73911-6
methods	direct synthesis of	5	1	10.1038/s41467-020-16855-9
methods	el spectra were	5	5	10.1038/s41467-022-29702-w;10.1038/s41467-022-32010-y;10.1038/s41467-026-73298-4;10.1038/s41467-026-74151-4;10.1038/s41467-026-74583-y
results	the interaction between	5	4	10.1038/s41467-020-17633-3;10.1038/s41467-024-51760-5;10.1038/s41467-025-64696-1;10.1038/s41467-026-72625-z
results	the existence of	5	4	10.1038/s43246-026-01136-7;10.1038/s41377-024-01704-x;10.1038/s41467-024-51760-5;10.1038/s41467-024-52208-6
methods	the morphology of	5	5	10.1038/s41377-022-01036-8;10.1038/s41467-018-03049-7;10.1038/s41467-018-05909-8;10.1038/s41467-021-24931-x;10.1038/s41467-026-71292-4
results	it could be	5	3	10.1038/s41467-020-17633-3;10.1038/s41467-023-41929-9;10.1038/s41467-025-59515-6
methods	the transient el	5	5	10.1038/s41377-025-01768-3;10.1038/s41467-022-28037-w;10.1038/s41467-026-74583-y;10.1038/s41566-024-01458-3;10.1038/s41928-024-01181-5
results	by varying the	5	4	10.1038/s41467-024-47891-4;10.1038/s41467-024-53221-5;10.1038/s41467-025-64546-0;qdp_2013_carrier-multiplication-qd-films
methods	at this temperature	5	5	10.1038/s41467-020-16865-7;10.1038/s41467-024-44894-z;10.1038/s41467-025-57304-9;10.1038/s41467-025-59527-2;10.1038/s41467-025-61511-9
results	the device based	5	4	10.1038/s41467-018-05760-x;10.1038/s41467-018-07099-9;10.1038/s41467-025-58470-6;10.1038/s41467-025-64111-9
results	the transient absorption	5	5	10.1038/s41377-022-00992-5;10.1038/s41467-019-12558-y;10.1038/s41467-020-16855-9;10.1038/s41467-025-61085-6;10.1038/s41566-024-01458-3
methods	film and device	5	5	10.1038/s41467-023-41929-9;10.1038/s41467-024-54160-x;10.1038/s41467-024-55376-7;10.1038/s41467-025-58470-6;10.1038/s41467-026-72625-z
methods	the xps and	5	5	10.1038/s41377-022-00855-z;10.1038/s41467-025-58047-3;10.1038/s41467-026-69198-2;10.1038/s41467-026-71292-4;10.1038/s41467-026-73911-6
results	device structure and	5	5	10.1038/s41467-018-05909-8;10.1038/s41467-019-09794-7;10.1038/s41467-020-16659-x;10.1038/s41467-026-71292-4;10.1038/s41467-026-74583-y
methods	we used a	5	4	qdp_2012_lifetime-blinking-nonblinking-qd;10.1038/s41566-024-01458-3;qdp_2013_carrier-multiplication-qd-films;qdp_2016_inas-qd-size-tunable-nir-emission
results	figure 1a illustrates	5	5	10.1038/s41377-026-02356-9;10.1038/s41467-018-07383-8;10.1038/s41467-020-16865-7;10.1038/s41467-021-20970-6;10.1038/s41467-023-43472-z
results	in this section	5	4	10.1038/s41467-023-41868-5;10.1038/s41377-025-01768-3;10.1038/s41467-022-31853-9;10.1038/s41467-025-60886-z
results	the steady-state pl	5	5	10.1038/s41467-019-13437-2;10.1038/s41467-020-17633-3;10.1038/s41467-020-20433-4;10.1038/s41467-021-21522-8;10.1038/s41467-026-72115-2
methods	pedot:pss clevios p	5	5	10.1038/s41377-025-01972-1;10.1038/s41467-019-09794-7;10.1038/s41467-021-24616-5;10.1038/s41467-024-52521-0;10.1038/s41467-025-59515-6
results	these findings are	5	4	10.1038/s41467-026-71949-0;10.1038/s41467-024-49751-7;10.1038/s41467-024-51760-5;10.1038/s41467-026-69198-2
results	we conclude that	5	5	10.1038/s41467-021-20970-6;10.1038/s41467-024-44894-z;10.1038/s41467-025-61511-9;10.1038/s41467-025-67347-7;10.1038/s41467-026-75756-5
methods	the ito substrate	5	4	10.1038/s41467-025-65871-0;10.1038/s41467-024-51760-5;10.1038/s41467-026-69198-2;10.1038/s41563-025-02123-y
methods	in situ pl	5	4	10.1038/s41467-024-53221-5;10.1038/s41467-025-58470-6;10.1038/s41467-026-68315-5;10.1038/s41467-026-75756-5
results	to gain further	5	5	10.1038/s41467-018-05909-8;10.1038/s41467-020-20582-6;10.1038/s41467-021-24616-5;10.1038/s41467-022-31478-y;10.1038/s41467-025-57200-2
introduction	in the past	5	5	10.1038/s41467-019-08561-y;10.1038/s41467-021-20970-6;10.1038/s41467-022-29538-4;10.1038/s41467-024-49838-1;10.1038/s41467-024-52521-0
results	the flat-band energy	5	5	10.1038/s41377-020-0328-6;10.1038/s41467-022-31853-9;10.1038/s41467-023-40150-y;10.1038/s41467-024-50634-0;10.1038/s41467-025-61085-6
results	this process is	5	5	10.1038/s41467-022-31853-9;10.1038/s41467-024-54160-x;10.1038/s41467-025-64596-4;10.1038/s41467-025-64696-1;10.1038/s41467-026-71949-0
results	the champion device	5	5	10.1038/s41467-019-13437-2;10.1038/s41467-021-20970-6;10.1038/s41467-023-36118-7;10.1038/s41467-026-75756-5;10.1038/s43246-021-00203-5
results	in brief the	5	4	10.1038/s41467-025-63684-9;10.1038/s41377-024-01727-4;10.1038/s41467-019-09794-7;10.1038/s41467-020-20582-6
discussion	based on the	5	5	10.1038/s41377-026-02356-9;10.1038/s41467-020-15481-9;10.1038/s41467-022-28037-w;10.1038/s41467-024-52521-0;10.1038/s41467-025-58047-3
results	moreover it is	5	5	10.1038/s41467-021-20970-6;10.1038/s41467-021-22864-z;10.1038/s41467-023-41929-9;10.1038/s41467-025-57200-2;10.1038/s41467-025-58047-3
results	consistent with the	5	5	10.1038/s41467-020-20582-6;10.1038/s41467-023-38216-y;10.1038/s41467-023-40150-y;10.1038/s41467-025-61085-6;10.1038/s41467-025-67347-7
introduction	here we show	5	5	10.1038/s41467-018-03049-7;10.1038/s41467-018-06294-y;10.1038/s41467-020-20555-9;10.1038/s41467-023-43408-7;10.1038/s41467-025-57472-8
results	the ta spectra	5	5	10.1038/s41377-022-00855-z;10.1038/s41377-024-01704-x;10.1038/s41467-018-06294-y;10.1038/s41467-025-57304-9;10.1038/s41563-024-01812-4
methods	the intensity of	5	5	10.1038/s41467-019-13951-3;10.1038/s41467-020-14747-6;10.1038/s41467-020-14756-5;10.1038/s41467-023-43408-7;10.1038/s41467-025-64111-9
introduction	based on these	5	5	10.1038/s41467-021-24931-x;10.1038/s41467-022-31189-4;10.1038/s41467-023-36773-w;10.1038/s41467-025-58470-6;qdp_2016_inas-qd-size-tunable-nir-emission
results	the pb 4f	5	5	10.1038/s41377-022-00992-5;10.1038/s41467-023-40150-y;10.1038/s41467-026-69198-2;10.1038/s41467-026-71292-4;alhtl_2017_cspbbr3-moo3-hil-peled
methods	during the measurement	5	5	10.1038/s41467-024-55376-7;10.1038/s41467-026-70555-4;10.1038/s41467-026-74583-y;10.1038/s41563-025-02123-y;qdp_2013_carrier-multiplication-qd-films
results	even though the	5	5	10.1038/s41467-018-05909-8;10.1038/s41467-019-09794-7;10.1038/s41928-024-01151-x;10.1038/s43246-021-00203-5;10.1038/s43246-026-01136-7
results	the detailed fabrication	5	5	10.1038/s41377-022-01036-8;10.1038/s41467-023-41868-5;10.1038/s41467-025-57200-2;10.1038/s41467-025-58047-3;10.1038/s41467-025-67347-7
introduction	up to now	5	5	10.1038/s41377-022-00855-z;10.1038/s41377-022-01036-8;10.1038/s41467-020-17633-3;10.1038/s41467-024-45945-1;10.1038/s41467-024-50432-8
results	such a result	5	5	10.1038/s41377-025-01817-x;10.1038/s41467-024-47891-4;10.1038/s41467-024-52521-0;10.1038/s41467-025-57472-8;10.1038/s41563-024-01812-4
results	figure 3a b	5	5	10.1038/s41377-025-02000-y;10.1038/s41377-026-02356-9;10.1038/s41467-020-16652-4;10.1038/s41467-023-35954-x;10.1038/s41467-025-57304-9
methods	transmission electron microscope	5	5	10.1038/s41377-022-00992-5;10.1038/s41467-020-14756-5;10.1038/s41467-020-15944-z;10.1038/s41467-023-38216-y;10.1038/s41467-023-41868-5
results	this suggests the	5	5	10.1038/s41377-025-01768-3;10.1038/s41467-023-40194-0;10.1038/s41467-023-41868-5;10.1038/s41467-023-41929-9;10.1038/s43246-024-00576-3
results	to further analyze	5	5	10.1038/s41377-026-02356-9;10.1038/s41467-025-65135-x;10.1038/s41467-026-69198-2;10.1038/s41467-026-71949-0;10.1038/s43246-020-00084-0
results	to further elucidate	5	4	10.1038/s41467-026-72625-z;10.1038/s41467-023-38216-y;10.1038/s41467-024-45945-1;10.1038/s41467-025-66981-5
results	the operational stability	5	5	10.1038/s41377-025-01740-1;10.1038/s41377-026-02184-x;10.1038/s41467-025-56001-x;10.1038/s41467-026-73298-4;10.1038/s41467-026-74583-y
